"gameid","url","league","split","date","week","game","patchno","playerid","side","position","player","team","champion","ban1","ban2","ban3","ban4","ban5","gamelength","result","k","d","a","teamkills","teamdeaths","doubles","triples","quadras","pentas","fb","fbassist","fbvictim","fbtime","kpm","okpm","ckpm","fd","fdtime","teamdragkills","oppdragkills","elementals","oppelementals","firedrakes","waterdrakes","earthdrakes","airdrakes","elders","oppelders","herald","heraldtime","ft","fttime","firstmidouter","firsttothreetowers","teamtowerkills","opptowerkills","fbaron","fbarontime","teambaronkills","oppbaronkills","dmgtochamps","dmgtochampsperminute","dmgshare","earnedgoldshare","wards","wpm","wardshare","wardkills","wcpm","visionwards","visionwardbuys","visiblewardclearrate","invisiblewardclearrate","totalgold","earnedgpm","goldspent","gspd","minionkills","monsterkills","monsterkillsownjungle","monsterkillsenemyjungle","cspm","goldat10","oppgoldat10","gdat10","goldat15","oppgoldat15","gdat15","xpat10","oppxpat10","xpdat10","csat10","oppcsat10","csdat10","csat15","oppcsat15","csdat15"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","1","Blue","Top","Evi","DetonatioN FocusMe","Gnar","Qiyana","Gangplank","Akali","Elise","Olaf","26.533333333333","0","0","4","4","7","22","0","0","0","0","0","0","0","3.8799833333333","0","0.037688442211055","1.0929648241206","0","9.7175666666667","1","2","0","0","0","0","0","0","0","0","0","","0","13.588566666667","0","0","1","10","0","23.779816666667","0","1","11588","436.73366834171","0.31206743328037","0.20684438345489","11","0.41457286432161","0.10576923076923","4","0.15075376884422","4","6"," "," ","8407","184.05979899497","8300","-0.15144766146993","180","8","4","1","7.0854271356784","3078","3440","-362","4670","5468","-798","4530","5051","-521","76","90","-14","116","122","-6"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","2","Blue","Jungle","Steal","DetonatioN FocusMe","Ekko","Qiyana","Gangplank","Akali","Elise","Olaf","26.533333333333","0","1","4","5","7","22","0","0","0","0","0","0","0","3.8799833333333","0.037688442211055","0.26381909547739","1.0929648241206","1","9.7175666666667","1","2","1","2","0","0","0","1","0","0","0","","0","13.588566666667","0","0","1","10","0","23.779816666667","0","1","7925","298.68090452261","0.21342202353702","0.16686234149069","24","0.90452261306533","0.23076923076923","8","0.30150753768844","11","13"," "," ","7463","148.48190954774","7360","-0.2967891235175","35","96","76","0","4.9371859296482","3684","4055","-371","4912","6278","-1366","3679","3928","-249","60","64","-4","88","105","-17"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","3","Blue","Middle","Ceros","DetonatioN FocusMe","Nocturne","Qiyana","Gangplank","Akali","Elise","Olaf","26.533333333333","0","1","5","6","7","22","0","0","0","0","0","0","0","3.8799833333333","0.037688442211055","0.11306532663317","1.0929648241206","0","9.7175666666667","1","2","0","0","0","0","0","0","0","0","0","","0","13.588566666667","0","0","1","10","0","23.779816666667","0","1","7557","284.81155778894","0.20351170118224","0.21010563052188","13","0.48994974874372","0.125","1","0.037688442211055","6","7"," "," ","8484","186.96180904523","7700","-0.28172942817294","186","6","4","0","7.2361809045226","3926","3569","357","5487","6116","-629","4751","4533","218","88","85","3","131","150","-19"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","4","Blue","ADC","Yutapon","DetonatioN FocusMe","Lucian","Qiyana","Gangplank","Akali","Elise","Olaf","26.533333333333","0","3","4","1","7","22","1","0","0","0","0","0","0","3.8799833333333","0.11306532663317","0.41457286432161","1.0929648241206","0","9.7175666666667","1","2","0","0","0","0","0","0","0","0","0","","0","13.588566666667","0","0","1","10","0","23.779816666667","0","1","7369","277.72613065327","0.19844881910969","0.30074288666955","9","0.3391959798995","0.086538461538462","7","0.26381909547739","3","4"," "," ","10624","267.61507537688","10150","-0.21538461538462","219","20","20","0","9.0075376884422","3579","3969","-390","5313","7142","-1829","3526","3532","-6","87","76","11","119","134","-15"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","5","Blue","Support","Gaeng","DetonatioN FocusMe","Thresh","Qiyana","Gangplank","Akali","Elise","Olaf","26.533333333333","0","2","5","2","7","22","0","0","0","0","0","0","1","3.8799833333333","0.075376884422111","0","1.0929648241206","0","9.7175666666667","1","2","0","0","0","0","0","0","0","0","0","","0","13.588566666667","0","0","1","10","0","23.779816666667","0","1","2694","101.53266331658","0.07255002289069","0.11544475786299","47","1.7713567839196","0.45192307692308","8","0.30150753768844","13","14"," "," ","6249","102.72814070352","5450","-0.296875","12","2","2","0","0.52763819095477","2088","2394","-306","3163","4319","-1156","2731","2376","355","4","3","1","6","5","1"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","6","Red","Top","Vizicsacsi","Splyce","Kennen","Heimerdinger","Pantheon","Syndra","Cassiopeia","Kai'Sa","26.533333333333","1","1","1","12","22","7","0","0","0","0","0","0","0","3.8799833333333","0.037688442211055","0","1.0929648241206","0","9.7175666666667","2","1","0","0","0","0","0","0","0","0","1","","1","13.588566666667","1","1","10","1","1","23.779816666667","1","0","14478","545.65326633166","0.2431479242241","0.15967081139767","15","0.56532663316583","0.1875","8","0.30150753768844","7","9"," "," ","9759","235.01457286432","9660","0.15144766146993","182","0","0","0","6.8592964824121","3440","3078","362","5468","4670","798","5051","4530","521","90","76","14","122","116","6"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","7","Red","Jungle","Xerxe","Splyce","Hecarim","Heimerdinger","Pantheon","Syndra","Cassiopeia","Kai'Sa","26.533333333333","1","7","1","6","22","7","1","0","0","0","1","0","0","3.8799833333333","0.26381909547739","0.037688442211055","1.0929648241206","0","9.7175666666667","2","1","2","1","0","1","0","1","0","0","1","","1","13.588566666667","1","1","10","1","1","23.779816666667","1","0","7782","293.29145728643","0.13069326884321","0.19987197082983","9","0.3391959798995","0.1125","7","0.26381909547739","8","10"," "," ","11329","294.18542713568","9925","0.2967891235175","18","128","78","12","5.5025125628141","4055","3684","371","6278","4912","1366","3928","3679","249","64","60","4","105","88","17"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","8","Red","Middle","Humanoid","Splyce","Ryze","Heimerdinger","Pantheon","Syndra","Cassiopeia","Kai'Sa","26.533333333333","1","3","2","10","22","7","0","0","0","0","0","0","0","3.8799833333333","0.11306532663317","0.037688442211055","1.0929648241206","0","9.7175666666667","2","1","0","0","0","0","0","0","0","0","1","","1","13.588566666667","1","1","10","1","1","23.779816666667","1","0","12668","477.43718592965","0.21275023512025","0.2157219820964","15","0.56532663316583","0.1875","12","0.45226130653266","6","7"," "," ","11948","317.51457286432","10225","0.28172942817294","222","44","24","11","10.025125628141","3569","3926","-357","6116","5487","629","4533","4751","-218","85","88","-3","150","131","19"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","9","Red","ADC","Kobbe","Splyce","Xayah","Heimerdinger","Pantheon","Syndra","Cassiopeia","Kai'Sa","26.533333333333","1","11","0","5","22","7","3","0","0","0","0","1","0","3.8799833333333","0.41457286432161","0.11306532663317","1.0929648241206","0","9.7175666666667","2","1","0","0","0","0","0","0","0","0","1","","1","13.588566666667","1","1","10","1","1","23.779816666667","1","0","20899","787.65075376884","0.35098414617762","0.30098940942704","11","0.41457286432161","0.1375","11","0.41457286432161","3","4"," "," ","15278","443.01708542714","12600","0.21538461538462","253","16","12","0","10.138190954774","3969","3579","390","7142","5313","1829","3532","3526","6","76","87","-11","134","119","15"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","10","Red","Support","Norskeren","Splyce","Rakan","Heimerdinger","Pantheon","Syndra","Cassiopeia","Kai'Sa","26.533333333333","1","0","3","18","22","7","0","0","0","0","0","1","0","3.8799833333333","0","0.075376884422111","1.0929648241206","0","9.7175666666667","2","1","0","0","0","0","0","0","0","0","1","","1","13.588566666667","1","1","10","1","1","23.779816666667","1","0","3717","140.08793969849","0.062424425634825","0.12374582624905","30","1.1306532663317","0.375","13","0.48994974874372","11","11"," "," ","8356","182.13768844221","7350","0.296875","13","0","0","0","0.48994974874372","2394","2088","306","4319","3163","1156","2376","2731","-355","3","4","-1","5","6","-1"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","100","Blue","Team","Team","DetonatioN FocusMe"," ","Qiyana","Gangplank","Akali","Elise","Olaf","26.533333333333","0","7","22","18","7","22"," "," "," "," ","0","0","1","3.8799833333333","0.26381909547739","0.82914572864322","1.0929648241206","1","9.7175666666667","1","2","1","2","0","0","0","1","0","0","0","13.109583333333","0","13.588566666667","0","0","1","10","0","23.779816666667","0","1","37133","1399.4849246231"," "," ","104","3.9195979899497","1","28","1.0552763819095","37","44","0.43589743589744","0.26829268292683","41227","889.84673366834","38960","-0.24346257889991","632","132","106","1","28.793969849246","16355","17427","-1072","23545","29323","-5778","19217","19420","-203","315","318","-3","460","516","-56"
"1070340","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview","WC","2019-W","43740.286145833","PI-RR","1","9.19","200","Red","Team","Team","Splyce"," ","Heimerdinger","Pantheon","Syndra","Cassiopeia","Kai'Sa","26.533333333333","1","22","7","51","22","7"," "," "," "," ","1","1","0","3.8799833333333","0.82914572864322","0.26381909547739","1.0929648241206","0","9.7175666666667","2","1","2","1","0","1","0","1","0","0","1","13.109583333333","1","13.588566666667","1","1","10","1","1","23.779816666667","1","0","59544","2244.1206030151"," "," ","80","3.0150753768844","1","51","1.9221105527638","35","41","0.71052631578947","0.28070175438596","56670","1471.8693467337","49760","0.24346257889991","688","188","114","23","33.015075376884","17427","16355","1072","29323","23545","5778","19420","19217","203","318","315","3","516","460","56"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","1","Blue","Top","Huni","Clutch Gaming","Akali","Syndra","Yuumi","Qiyana","Caitlyn","Draven","38.066666666667","0","3","5","4","8","16","0","0","0","0","0","1","0","7.9243833333333","0.078809106830123","0.052539404553415","0.63047285464098","0","17.121616666667","0","4","0","0","0","0","0","0","0","0","1","","0","13.696416666667","0","0","3","11","0","22.9774","0","2","14933","392.28546409807","0.28857711558158","0.25966388360573","8","0.21015761821366","0.058823529411765","8","0.21015761821366","2","2"," "," ","14601","253.92399299475","13600","-0.0054995417048579","300","5","1","0","8.0122591943958","3438","2895","543","4816","5550","-734","4668","4347","321","85","68","17","121","110","11"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","2","Blue","Jungle","Lira","Clutch Gaming","Ekko","Syndra","Yuumi","Qiyana","Caitlyn","Draven","38.066666666667","0","1","5","6","8","16","0","0","0","0","1","0","0","7.9243833333333","0.026269702276708","0.078809106830123","0.63047285464098","0","17.121616666667","0","4","0","3","0","0","0","0","0","0","1","","0","13.696416666667","0","0","3","11","0","22.9774","0","2","10854","285.13134851138","0.20975128992985","0.18030903796353","43","1.1295971978984","0.31617647058824","20","0.52539404553415","15","17"," "," ","11647","176.32329246935","11325","-0.084566596194503","66","134","97","9","5.2539404553415","3210","3753","-543","4663","5204","-541","3130","4078","-948","47","63","-16","75","89","-14"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","3","Blue","Middle","Damonte","Clutch Gaming","Renekton","Syndra","Yuumi","Qiyana","Caitlyn","Draven","38.066666666667","0","1","3","1","8","16","0","0","0","0","0","0","0","7.9243833333333","0.026269702276708","0.13134851138354","0.63047285464098","0","17.121616666667","0","4","0","1","0","0","0","0","0","0","1","","0","13.696416666667","0","0","3","11","0","22.9774","0","2","5124","134.60595446585","0.099020233056989","0.18237752920065","25","0.65674255691769","0.18382352941176","6","0.15761821366025","13","13"," "," ","11724","178.34605954466","11325","-0.35988414192614","266","7","6","0","7.1716287215412","3016","3733","-717","5064","5650","-586","4239","4842","-603","75","86","-11","126","140","-14"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","4","Blue","ADC","Cody Sun","Clutch Gaming","Xayah","Syndra","Yuumi","Qiyana","Caitlyn","Draven","38.066666666667","0","3","1","2","8","16","1","0","0","0","0","0","0","7.9243833333333","0.078809106830123","0.13134851138354","0.63047285464098","0","17.121616666667","0","4","0","0","0","0","0","0","0","0","1","","0","13.696416666667","0","0","3","11","0","22.9774","0","2","15290","401.66374781086","0.29547606624539","0.3162115985945","13","0.3415061295972","0.095588235294118","8","0.21015761821366","6","6"," "," ","16706","309.22171628722","15100","0.11558669001751","375","24","24","0","10.481611208406","3524","3040","484","4852","4845","7","3287","3284","3","88","65","23","120","105","15"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","5","Blue","Support","Vulcan","Clutch Gaming","Rakan","Syndra","Yuumi","Qiyana","Caitlyn","Draven","38.066666666667","0","0","2","4","8","16","0","0","0","0","0","0","0","7.9243833333333","0","0.026269702276708","0.63047285464098","0","17.121616666667","0","4","0","0","0","0","0","0","0","0","1","","0","13.696416666667","0","0","3","11","0","22.9774","0","2","5546","145.69176882662","0.10717529518619","0.061437950635591","47","1.2346760070053","0.34558823529412","12","0.31523642732049","18","20"," "," ","7222","60.079859894921","7450","-0.10793650793651","15","0","0","0","0.39404553415061","1898","1895","3","2841","2915","-74","2547","2867","-320","0","7","-7","2","9","-7"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","6","Red","Top","BOSS","Unicorns of Love","Neeko","Pantheon","Rumble","Gangplank","Skarner","Elise","38.066666666667","1","2","2","11","16","8","0","0","0","0","0","0","1","7.9243833333333","0.052539404553415","0.078809106830123","0.63047285464098","0","17.121616666667","4","0","0","0","0","0","0","0","0","0","0","","1","13.696416666667","1","1","11","3","1","22.9774","2","0","13270","348.59894921191","0.18003961685616","0.21556306911004","22","0.57793345008757","0.16296296296296","5","0.13134851138354","7","7"," "," ","14409","248.88021015762","13675","0.0054995417048579","232","11","3","3","6.3835376532399","2895","3438","-543","5550","4816","734","4347","4668","-321","68","85","-17","110","121","-11"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","7","Red","Jungle","AHaHaCiK","Unicorns of Love","Rek'Sai","Pantheon","Rumble","Gangplank","Skarner","Elise","38.066666666667","1","3","2","4","16","8","0","0","0","0","0","0","0","7.9243833333333","0.078809106830123","0.026269702276708","0.63047285464098","1","17.121616666667","4","0","3","0","0","0","1","2","0","0","0","","1","13.696416666667","1","1","11","3","1","22.9774","2","0","11115","291.9877408056","0.15080183431471","0.18709903481668","33","0.86690017513135","0.24444444444444","22","0.57793345008757","9","9"," "," ","13158","216.01681260946","12325","0.084566596194503","39","165","71","35","5.3590192644483","3753","3210","543","5204","4663","541","4078","3130","948","63","47","16","89","75","14"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","8","Red","Middle","Nomanz","Unicorns of Love","Tristana","Pantheon","Rumble","Gangplank","Skarner","Elise","38.066666666667","1","5","1","6","16","8","1","0","0","0","0","0","0","7.9243833333333","0.13134851138354","0.026269702276708","0.63047285464098","0","17.121616666667","4","0","1","0","1","0","0","0","0","0","0","","1","13.696416666667","1","1","11","3","1","22.9774","2","0","23961","629.44833625219","0.32508886657803","0.27462992204814","13","0.3415061295972","0.096296296296296","20","0.52539404553415","3","3"," "," ","17005","317.07635726795","16295","0.35988414192614","313","24","17","0","8.8528896672504","3733","3016","717","5650","5064","586","4842","4239","603","86","75","11","140","126","14"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","9","Red","ADC","Innaxe","Unicorns of Love","Heimerdinger","Pantheon","Rumble","Gangplank","Skarner","Elise","38.066666666667","1","5","0","4","16","8","1","0","0","0","0","0","0","7.9243833333333","0.13134851138354","0.078809106830123","0.63047285464098","0","17.121616666667","4","0","0","0","0","0","0","0","0","0","0","","1","13.696416666667","1","1","11","3","1","22.9774","2","0","20072","527.28546409807","0.27232518383849","0.2223207175394","11","0.28896672504378","0.081481481481481","5","0.13134851138354","0","0"," "," ","14706","256.6823117338","13450","-0.11558669001751","249","20","12","4","7.0665499124343","3040","3524","-484","4845","4852","-7","3284","3287","-3","65","88","-23","105","120","-15"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","10","Red","Support","Edward","Unicorns of Love","Morgana","Pantheon","Rumble","Gangplank","Skarner","Elise","38.066666666667","1","1","3","9","16","8","0","0","0","0","0","0","0","7.9243833333333","0.026269702276708","0","0.63047285464098","0","17.121616666667","4","0","0","0","0","0","0","0","0","0","0","","1","13.696416666667","1","1","11","3","1","22.9774","2","0","5288","138.91418563923","0.071744498412612","0.10038725648575","56","1.4711033274956","0.41481481481481","10","0.26269702276708","16","16"," "," ","9347","115.90297723292","8300","0.10793650793651","20","0","0","0","0.52539404553415","1895","1898","-3","2915","2841","74","2867","2547","320","7","0","7","9","2","7"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","100","Blue","Team","Team","Clutch Gaming"," ","Syndra","Yuumi","Qiyana","Caitlyn","Draven","38.066666666667","0","8","16","17","8","16"," "," "," "," ","1","1","0","7.9243833333333","0.21015761821366","0.42031523642732","0.63047285464098","0","17.121616666667","0","4","0","4","0","0","0","0","0","0","1","13.114183333333","0","13.696416666667","0","0","3","11","0","22.9774","0","2","51747","1359.3782837128"," "," ","136","3.5726795096322","1","54","1.4185639229422","54","58","0.55555555555556","0.28787878787879","61900","977.89492119089","58800","-0.085392160853108","1022","170","128","9","31.313485113835","15086","15316","-230","22236","24164","-1928","17871","19418","-1547","295","289","6","444","453","-9"
"1070330","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview","WC","2019-W","43740.223888889","PI-RR","1","9.19","200","Red","Team","Team","Unicorns of Love"," ","Pantheon","Rumble","Gangplank","Skarner","Elise","38.066666666667","1","16","8","34","16","8"," "," "," "," ","0","0","1","7.9243833333333","0.42031523642732","0.21015761821366","0.63047285464098","1","17.121616666667","4","0","4","0","1","0","1","2","0","0","0","13.114183333333","1","13.696416666667","1","1","11","3","1","22.9774","2","0","73706","1936.234676007"," "," ","135","3.5464098073555","1","62","1.6287215411559","35","35","0.58064516129032","0.21276595744681","68625","1154.5586690018","64045","0.085392160853108","853","220","103","42","28.187390542907","15316","15086","230","24164","22236","1928","19418","17871","1547","289","295","-6","453","444","9"
"1070349","https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview","WC","2019-W","43740.329710648","PI-RR","1","9.19","1","Blue","Top","Fudge","Mammoth","Gangplank","Qiyana","Kayle","Morgana","Thresh","Pyke","37.583333333333","1","1","2","14","18","8","0","0","0","0","0","0","1","3.3609833333333","0.026607538802661","0.079822616407982","0.69179600886918","0","8.3181333333333","4","0","0","0","0","0","0","0","0","0","1","","1","17.613883333333","1","1","9","2","1","27.446516666667","1","0","17523","466.24390243902","0.24301385441081","0.2314656522712","17","0.45232815964523","0.14782608695652","3","0.079822616407982","7","7"," "," ","15220","275.23370288248","12958","-0.014708135437414","300","6","3","0","8.1419068736142","3242","3317","-75","5287","5360","-73","4293","4151","142","75","71","4","120","119","1"
